dataset,min_freq,type,gold,tp,match_recall
redjujube,1,AGR,118,114,0.9661016949152542
redjujube,1,CUL,43,43,1.0
redjujube,1,DIS,27,27,1.0
redjujube,1,DRU,233,122,0.5236051502145923
redjujube,1,EQU,153,129,0.8431372549019608
redjujube,1,FER,33,25,0.7575757575757576
redjujube,1,LOC,372,276,0.7419354838709677
redjujube,1,NUT,40,40,1.0
redjujube,1,PAR,22,22,1.0
redjujube,1,PER,8,8,1.0
redjujube,1,PES,11,11,1.0
redjujube,1,PRO,21,21,1.0
redjujube,1,TAX,11,11,1.0
redjujube,2,AGR,118,36,0.3050847457627119
redjujube,2,CUL,43,8,0.18604651162790697
redjujube,2,DIS,27,7,0.25925925925925924
redjujube,2,DRU,233,44,0.1888412017167382
redjujube,2,EQU,153,59,0.38562091503267976
redjujube,2,FER,33,9,0.2727272727272727
redjujube,2,LOC,372,113,0.30376344086021506
redjujube,2,NUT,40,39,0.975
redjujube,2,PAR,22,10,0.45454545454545453
redjujube,2,PER,8,2,0.25
redjujube,2,PES,11,8,0.7272727272727273
redjujube,2,PRO,21,0,0.0
redjujube,2,TAX,11,4,0.36363636363636365
redjujube,3,AGR,118,10,0.0847457627118644
redjujube,3,CUL,43,0,0.0
redjujube,3,DIS,27,3,0.1111111111111111
redjujube,3,DRU,233,18,0.07725321888412018
redjujube,3,EQU,153,23,0.1503267973856209
redjujube,3,FER,33,1,0.030303030303030304
redjujube,3,LOC,372,71,0.19086021505376344
redjujube,3,NUT,40,39,0.975
redjujube,3,PAR,22,10,0.45454545454545453
redjujube,3,PER,8,0,0.0
redjujube,3,PES,11,6,0.5454545454545454
redjujube,3,PRO,21,0,0.0
redjujube,3,TAX,11,4,0.36363636363636365
