dataset,min_freq,type,total_instances,covered_instances,covered_rate,total_unique,covered_unique
redjujube,1,LOC,1488,1488,1.0,907,907
redjujube,1,PAR,6017,6017,1.0,373,373
redjujube,1,EQU,1520,1520,1.0,560,560
redjujube,1,PRO,833,833,1.0,169,169
redjujube,1,AGR,3061,3061,1.0,779,779
redjujube,1,PER,1766,1766,1.0,175,175
redjujube,1,DIS,1015,1015,1.0,315,315
redjujube,1,NUT,426,426,1.0,79,79
redjujube,1,CUL,2461,2461,1.0,1073,1073
redjujube,1,FER,232,232,1.0,90,90
redjujube,1,PES,371,371,1.0,128,128
redjujube,1,DRU,866,866,1.0,582,582
redjujube,1,TAX,87,87,1.0,55,55
redjujube,1,WED,192,192,1.0,103,103
redjujube,2,LOC,1488,799,0.5369623655913979,907,218
redjujube,2,PAR,6017,5885,0.9780621572212066,373,241
redjujube,2,EQU,1520,1173,0.7717105263157895,560,213
redjujube,2,PRO,833,722,0.8667466986794717,169,58
redjujube,2,AGR,3061,2623,0.8569095066971578,779,341
redjujube,2,PER,1766,1703,0.964326160815402,175,112
redjujube,2,DIS,1015,813,0.8009852216748768,315,113
redjujube,2,NUT,426,386,0.9061032863849765,79,39
redjujube,2,CUL,2461,1638,0.6655830963023162,1073,250
redjujube,2,FER,232,181,0.7801724137931034,90,39
redjujube,2,PES,371,302,0.8140161725067385,128,59
redjujube,2,DRU,866,467,0.5392609699769053,582,183
redjujube,2,TAX,87,44,0.5057471264367817,55,12
redjujube,2,WED,192,124,0.6458333333333334,103,35
redjujube,3,LOC,1488,551,0.3702956989247312,907,92
redjujube,3,PAR,6017,5815,0.9664284527173009,373,206
redjujube,3,EQU,1520,981,0.6453947368421052,560,114
redjujube,3,PRO,833,696,0.8355342136854742,169,43
redjujube,3,AGR,3061,2363,0.7719699444625939,779,211
redjujube,3,PER,1766,1641,0.9292185730464326,175,81
redjujube,3,DIS,1015,732,0.7211822660098522,315,71
redjujube,3,NUT,426,370,0.8685446009389671,79,30
redjujube,3,CUL,2461,1423,0.5782202356765542,1073,141
redjujube,3,FER,232,164,0.7068965517241379,90,30
redjujube,3,PES,371,261,0.7035040431266847,128,38
redjujube,3,DRU,866,232,0.2678983833718245,582,64
redjujube,3,TAX,87,34,0.39080459770114945,55,7
redjujube,3,WED,192,87,0.453125,103,16
